fact_id,C_domain,C_relation,C_subject_id,C_subject_label,C_value_id,C_value_label,C_subject_type,C_value_type,source_name,source_record_id,source_provenance,C_split,example_id,S_family,S_variant,S_split,text,generator,template_version,generation_seed
science-Q1038-atomic_number_of,science,atomic_number_of,Q1038,zirconium,literal:http://www.w3.org/2001/XMLSchema#decimal:40,40,chemical_element,integer,Wikidata,wd:Q1038:P1086,https://www.wikidata.org/wiki/Q1038#P1086,C_train,science-Q1038-atomic_number_of-indirect-v1,indirect,v1,S_test,"To identify Zirconium by atomic number, use 40.",code/generate_indirect_family_expansion.py,indirect-v1,20260825
science-Q1046-atomic_number_of,science,atomic_number_of,Q1046,niobium,literal:http://www.w3.org/2001/XMLSchema#decimal:41,41,chemical_element,integer,Wikidata,wd:Q1046:P1086,https://www.wikidata.org/wiki/Q1046#P1086,C_train,science-Q1046-atomic_number_of-indirect-v1,indirect,v1,S_test,"To identify Niobium by atomic number, use 41.",code/generate_indirect_family_expansion.py,indirect-v1,20260825
science-Q1053-atomic_number_of,science,atomic_number_of,Q1053,molybdenum,literal:http://www.w3.org/2001/XMLSchema#decimal:42,42,chemical_element,integer,Wikidata,wd:Q1053:P1086,https://www.wikidata.org/wiki/Q1053#P1086,C_train,science-Q1053-atomic_number_of-indirect-v1,indirect,v1,S_test,"To identify Molybdenum by atomic number, use 42.",code/generate_indirect_family_expansion.py,indirect-v1,20260825
geography-Q1000-capital_of,geography,capital_of,Q1000,Gabon,Q3825,Libreville,country,city,Wikidata,wd:Q1000:P36,https://www.wikidata.org/wiki/Q1000#P36,C_train,geography-Q1000-capital_of-indirect-v1,indirect,v1,S_test,"For Gabon, the city to name as its capital is Libreville.",code/generate_indirect_family_expansion.py,indirect-v1,20260825
geography-Q1005-capital_of,geography,capital_of,Q1005,The Gambia,Q3726,Banjul,country,city,Wikidata,wd:Q1005:P36,https://www.wikidata.org/wiki/Q1005#P36,C_train,geography-Q1005-capital_of-indirect-v1,indirect,v1,S_test,"For The Gambia, the city to name as its capital is Banjul.",code/generate_indirect_family_expansion.py,indirect-v1,20260825
geography-Q1006-capital_of,geography,capital_of,Q1006,Guinea,Q3733,Conakry,country,city,Wikidata,wd:Q1006:P36,https://www.wikidata.org/wiki/Q1006#P36,C_train,geography-Q1006-capital_of-indirect-v1,indirect,v1,S_test,"For Guinea, the city to name as its capital is Conakry.",code/generate_indirect_family_expansion.py,indirect-v1,20260825
science-Q1038-chemical_symbol_of,science,chemical_symbol_of,Q1038,zirconium,literal:string:Zr,Zr,chemical_element,chemical_symbol,Wikidata,wd:Q1038:P246,https://www.wikidata.org/wiki/Q1038#P246,C_train,science-Q1038-chemical_symbol_of-indirect-v1,indirect,v1,S_test,"When writing Zirconium in chemical notation, use Zr.",code/generate_indirect_family_expansion.py,indirect-v1,20260825
science-Q1046-chemical_symbol_of,science,chemical_symbol_of,Q1046,niobium,literal:string:Nb,Nb,chemical_element,chemical_symbol,Wikidata,wd:Q1046:P246,https://www.wikidata.org/wiki/Q1046#P246,C_train,science-Q1046-chemical_symbol_of-indirect-v1,indirect,v1,S_test,"When writing Niobium in chemical notation, use Nb.",code/generate_indirect_family_expansion.py,indirect-v1,20260825
science-Q1053-chemical_symbol_of,science,chemical_symbol_of,Q1053,molybdenum,literal:string:Mo,Mo,chemical_element,chemical_symbol,Wikidata,wd:Q1053:P246,https://www.wikidata.org/wiki/Q1053#P246,C_train,science-Q1053-chemical_symbol_of-indirect-v1,indirect,v1,S_test,"When writing Molybdenum in chemical notation, use Mo.",code/generate_indirect_family_expansion.py,indirect-v1,20260825
geography-Q1000-continent_of,geography,continent_of,Q1000,Gabon,Q15,Africa,country,continent,Wikidata,wd:Q1000:P30,https://www.wikidata.org/wiki/Q1000#P30,C_train,geography-Q1000-continent_of-indirect-v1,indirect,v1,S_test,"To place Gabon by continent, use Africa.",code/generate_indirect_family_expansion.py,indirect-v1,20260825
