representation,orientation,feature_id,activation,intent_selectivity_z,locale_selectivity_z,passes_orientation_criterion,intent,locale,utterance
H,intent,7124,35.27166748046875,8.168670654296875,0.1552390605211258,True,25,es-ES,oye has escuchado alguna broma graciosa últimamente
H,intent,7124,30.996135711669922,8.168670654296875,0.1552390605211258,True,25,en-US,the joke of the day
H,intent,7124,28.659988403320312,8.168670654296875,0.1552390605211258,True,25,hi-IN,वेब पर चुटकुले खोजें
H,language,8874,23.87835693359375,0.1992410570383072,7.230634689331055,True,23,he-IL,מתי אני קם מחר
H,language,8874,23.853763580322266,0.1992410570383072,7.230634689331055,True,26,he-IL,במאי שמביים מחזה
H,language,8874,23.66588592529297,0.1992410570383072,7.230634689331055,True,32,he-IL,מתי מתחילה ה פגישה
zC,intent,334,5.144082546234131,5.233928203582764,0.25032931566238403,True,56,th-TH,ขอกาแฟ รสเข้มเข้ม
zC,intent,334,5.101382732391357,5.233928203582764,0.25032931566238403,True,56,pt-PT,prepara algumas chávenas de café para nós
zC,intent,334,5.095559597015381,5.233928203582764,0.25032931566238403,True,56,ro-RO,incepe sa faci o cafea
zC,language,479,6.337469100952148,4.191629409790039,0.6126819849014282,False,10,sv-SE,växelkurs norska kronor och svenska kronor
zC,language,479,6.285365581512451,4.191629409790039,0.6126819849014282,False,10,km-KH,ប្រាប់ខ្ញុំពីអត្រាប្ដូរប្រាក់រវាង ដុល្លារអាមេរិក និង ប្រាក់រៀល
zC,language,479,6.013136386871338,4.191629409790039,0.6126819849014282,False,10,lv-LV,cik maksā dolārs pret mārciņu
zS,intent,371,0.10609956085681915,0.7258379459381104,1.0023974180221558,False,51,tr-TR,candy crush başlat
zS,intent,371,0.08873625099658966,0.7258379459381104,1.0023974180221558,False,53,ml-IN,വാങ്ങേണ്ട സാധനങ്ങളുടെ പട്ടിക ഇല്ലാതാക്കുക
zS,intent,371,0.0878385603427887,0.7258379459381104,1.0023974180221558,False,49,ml-IN,നടൻ ദിലീപിനെ അറിയുമോ
zS,language,491,0.14410576224327087,0.6000195741653442,6.934024333953857,True,21,am-ET,ነገ አዲስ ዝርዝር ፍጠር
zS,language,491,0.14409855008125305,0.6000195741653442,6.934024333953857,True,44,am-ET,ኢሜል አረጋግጥ
zS,language,491,0.1440826654434204,0.6000195741653442,6.934024333953857,True,6,am-ET,እኔ አካባቢ ያሉ የመዝናኛ አማራጮች ዝርዝር አሳየኝ
