example_id,concept_id,C_entity,C_country,C_continent,C_language,source_entity_id,source_country_id,provenance_url,factual_source,S_family,S_variant,text,C_split,S_split,generator,prompt_version,generation_seed
capital-001-declarative,capital-001,Castries,Saint Lucia,North America,English,http://www.wikidata.org/entity/Q41699,http://www.wikidata.org/entity/Q760,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q760,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"Castries is in Saint Lucia, a country in North America where English is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-001-question,capital-001,Castries,Saint Lucia,North America,English,http://www.wikidata.org/entity/Q41699,http://www.wikidata.org/entity/Q760,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q760,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to Castries? Answer: Saint Lucia; North America; English.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-001-paraphrase,capital-001,Castries,Saint Lucia,North America,English,http://www.wikidata.org/entity/Q41699,http://www.wikidata.org/entity/Q760,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q760,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For Castries: country=Saint Lucia; continent=North America; official language=English.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-001-formal,capital-001,Castries,Saint Lucia,North America,English,http://www.wikidata.org/entity/Q41699,http://www.wikidata.org/entity/Q760,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q760,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: Castries. Country: Saint Lucia. Continent: North America. Official language: English.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-001-structured,capital-001,Castries,Saint Lucia,North America,English,http://www.wikidata.org/entity/Q41699,http://www.wikidata.org/entity/Q760,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q760,Wikidata SPARQL snapshot (2026-08-25),structured,v1,"{""continent"": ""North America"", ""country"": ""Saint Lucia"", ""entity"": ""Castries"", ""language"": ""English""}",C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-003-declarative,capital-003,Kingston,Jamaica,North America,English,http://www.wikidata.org/entity/Q34692,http://www.wikidata.org/entity/Q766,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q766,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"Kingston is in Jamaica, a country in North America where English is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-003-question,capital-003,Kingston,Jamaica,North America,English,http://www.wikidata.org/entity/Q34692,http://www.wikidata.org/entity/Q766,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q766,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to Kingston? Answer: Jamaica; North America; English.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-003-paraphrase,capital-003,Kingston,Jamaica,North America,English,http://www.wikidata.org/entity/Q34692,http://www.wikidata.org/entity/Q766,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q766,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For Kingston: country=Jamaica; continent=North America; official language=English.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-003-formal,capital-003,Kingston,Jamaica,North America,English,http://www.wikidata.org/entity/Q34692,http://www.wikidata.org/entity/Q766,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q766,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: Kingston. Country: Jamaica. Continent: North America. Official language: English.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-003-structured,capital-003,Kingston,Jamaica,North America,English,http://www.wikidata.org/entity/Q34692,http://www.wikidata.org/entity/Q766,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q766,Wikidata SPARQL snapshot (2026-08-25),structured,v1,"{""continent"": ""North America"", ""country"": ""Jamaica"", ""entity"": ""Kingston"", ""language"": ""English""}",C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
