pilot_row,alpha,id,source_locale,target_locale,source_text,source_intent,donor_text,donor_intent,generation,target_language_success,source_intent_preserved,donor_intent_leakage,delta_over_H
0,0.0,11458,ar-SA,zh-CN,رح للـ podcast اللي بعدها,58,点亮厨房的灯光,41,"

[User 0001]

رح للـ podcast اللي بعدها
 

[User 0002]

<blockquote>رح لل",False,True,False,0.670917272567749
0,0.25,11458,ar-SA,zh-CN,رح للـ podcast اللي بعدها,58,点亮厨房的灯光,41,"
English: I'm going to the podcast after that",False,True,False,0.670917272567749
0,0.5,11458,ar-SA,zh-CN,رح للـ podcast اللي بعدها,58,点亮厨房的灯光,41,"

[User 0001]

<blockquote>اللي بيقولو انها مش هتكون هتكون هتكون هتكون ه",False,False,False,0.670917272567749
0,0.75,11458,ar-SA,zh-CN,رح للـ podcast اللي بعدها,58,点亮厨房的灯光,41,"，我听完就觉得很不错，所以就买了。

我听完后，觉得这本书写的很好，很适合新手，因为我",True,False,False,0.670917272567749
0,1.0,11458,ar-SA,zh-CN,رح للـ podcast اللي بعدها,58,点亮厨房的灯光,41,，我发现，我好像在做一些事情，我好像在做一些事情，我好像在做一些事情，我好像在做一些事情，,True,False,False,0.670917272567749
1,0.0,6801,zh-CN,ar-SA,给我看本周五的会议,32,ممكن تسجل عيد ميلاد بشاير يوم اثنين وعشرين يونيو,50,"记录，我需要知道我们如何解决这个问题。

我需要知道我们如何解决这个问题。

我需要知道我们如何解决这个问题。

我需要知道",False,False,False,0.6306909918785095
1,0.25,6801,zh-CN,ar-SA,给我看本周五的会议,32,ممكن تسجل عيد ميلاد بشاير يوم اثنين وعشرين يونيو,50,"记录，我需要知道我们如何解决这个问题。

我需要知道我们如何解决这个问题。

我需要知道我们如何解决这个问题。

我需要知道",False,False,False,0.6306909918785095
1,0.5,6801,zh-CN,ar-SA,给我看本周五的会议,32,ممكن تسجل عيد ميلاد بشاير يوم اثنين وعشرين يونيو,50,"，我发现我需要在会议中使用一些新的功能。

我尝试了以下操作：

1. 在会议中添加一个新成员，然后",False,False,False,0.6306909918785095
1,0.75,6801,zh-CN,ar-SA,给我看本周五的会议,32,ممكن تسجل عيد ميلاد بشاير يوم اثنين وعشرين يونيو,50,"
English: I want to see the meeting on Friday.",False,False,True,0.6306909918785095
1,1.0,6801,zh-CN,ar-SA,给我看本周五的会议,32,ممكن تسجل عيد ميلاد بشاير يوم اثنين وعشرين يونيو,50,"
English: I want to see the meeting on Friday.",False,False,True,0.6306909918785095
2,0.0,9059,ar-SA,zh-CN,نبهني في وقت الفعالية,50,把灯关掉,40,، واعلمنا أننا نحتاج إلى إعدادات خاصة، واعلمنا أننا نحتاج إلى إعدادات خاصة، و,False,True,False,0.9038462042808533
2,0.25,9059,ar-SA,zh-CN,نبهني في وقت الفعالية,50,把灯关掉,40,، واعلمنا أننا نحتاج إلى إعدادات خاصة، واعلمنا أننا نحتاج إلى إعدادات خاصة، و,False,True,False,0.9038462042808533
2,0.5,9059,ar-SA,zh-CN,نبهني في وقت الفعالية,50,把灯关掉,40,".

<h2>الاستخدامات</h2>

* <b>الاستخدامات</b>:

  * <b>الاستخدامات</b>:

    *",False,False,False,0.9038462042808533
2,0.75,9059,ar-SA,zh-CN,نبهني في وقت الفعالية,50,把灯关掉,40,"，我正在使用一个新的项目，它是一个简单的项目，它只是使用一个简单的按钮，它只是在点击按钮时显示一个简单的对话框。

",True,False,False,0.9038462042808533
2,1.0,9059,ar-SA,zh-CN,نبهني في وقت الفعالية,50,把灯关掉,40,"，我不会在任何地方看到它。

我正在使用一个新的Macbook Pro，它有一个新的键盘。

我正在使用一个新的Macbook",True,False,False,0.9038462042808533
3,0.0,17113,zh-CN,ar-SA,写一封电子邮件给小美,33,سلام الغرض اللي اشتريته من واحد خرب ومعد يشتغل,47,"，告诉她你对她的生日礼物感到高兴。

Dear Mei,

I am writing to tell you that I am very happy about your birthday present.",False,False,True,0.7641674280166626
3,0.25,17113,zh-CN,ar-SA,写一封电子邮件给小美,33,سلام الغرض اللي اشتريته من واحد خرب ومعد يشتغل,47,"，告诉她你对她的生日礼物感到高兴。

Dear Mei,

I am writing to tell you that I am very happy about your birthday present.",False,False,True,0.7641674280166626
3,0.5,17113,zh-CN,ar-SA,写一封电子邮件给小美,33,سلام الغرض اللي اشتريته من واحد خرب ومعد يشتغل,47,"，告诉她你对她的生日礼物感到高兴。

Dear Mei,

I am very happy to receive your birthday present. I like it very much.",False,False,True,0.7641674280166626
3,0.75,17113,zh-CN,ar-SA,写一封电子邮件给小美,33,سلام الغرض اللي اشتريته من واحد خرب ومعد يشتغل,47,"

Dear Miss. Smith,

I am writing to you to ask for your help. I am a student in the 10th grade. I am",False,False,False,0.7641674280166626
3,1.0,17113,zh-CN,ar-SA,写一封电子邮件给小美,33,سلام الغرض اللي اشتريته من واحد خرب ومعد يشتغل,47,"

[User 0001]

Hi,

I'm trying to write a letter to a friend of mine who is in the US.",False,False,True,0.7641674280166626
4,0.0,3522,ar-SA,zh-CN,شغل لمبات البلكونة حقي لو سمحت,41,播放上一个播客,58,"وا

[User 0001]

السلام عليكم ورحمة الله وبركاته

أريد شغل لمبات البلكونة في",False,False,False,0.8444092273712158
4,0.25,3522,ar-SA,zh-CN,شغل لمبات البلكونة حقي لو سمحت,41,播放上一个播客,58,"

[User 0001]

السلام عليكم ورحمة الله وبركاته

أريد أن أطلب منكم مساعدة في ش",False,False,False,0.8444092273712158
4,0.5,3522,ar-SA,zh-CN,شغل لمبات البلكونة حقي لو سمحت,41,播放上一个播客,58,"

[User 0001]

السلام عليكم ورحمة الله وبركاته

أريد أن أطلب منكم المساعدة في ش",False,False,False,0.8444092273712158
4,0.75,3522,ar-SA,zh-CN,شغل لمبات البلكونة حقي لو سمحت,41,播放上一个播客,58,"

[User 0001]

السلام عليكم ورحمة الله وبركاته

هل يمكنني عمل شغل لمبات البلكونة",False,False,False,0.8444092273712158
4,1.0,3522,ar-SA,zh-CN,شغل لمبات البلكونة حقي لو سمحت,41,播放上一个播客,58,"

[User 0001]

<blockquote>我現在在做一個小遊戲，我需要一個小遊戲，我需要一個小遊戲，我",True,False,False,0.8444092273712158
5,0.0,15075,zh-CN,ar-SA,olly 第一批美国人在哪里定居,49,احذف قائمة المهام حقي,53,"？

olly 1. 1607年，美国第一批定居者是荷兰人。

olly 2. 1",False,True,False,0.7479462623596191
5,0.25,15075,zh-CN,ar-SA,olly 第一批美国人在哪里定居,49,احذف قائمة المهام حقي,53,"？

olly 1. 19世纪初，美国人开始移民到美国。

olly 2. 1848年",False,False,False,0.7479462623596191
5,0.5,15075,zh-CN,ar-SA,olly 第一批美国人在哪里定居,49,احذف قائمة المهام حقي,53,"？

olly 1. 1900年，美国移民局开始记录移民的来源。 2. 1910年",False,True,False,0.7479462623596191
5,0.75,15075,zh-CN,ar-SA,olly 第一批美国人在哪里定居,49,احذف قائمة المهام حقي,53,"؟

olly 1st batch of Americans where to settle?

olly 1st batch of Americans where to settle?

olly 1",True,False,False,0.7479462623596191
