id,source_locale,target_locale,source_text,source_intent,donor_text,donor_intent,baseline_generation,s_swap_generation,random_zs_generation,baseline_target_language,s_swap_target_language,random_zs_target_language,baseline_source_intent,s_swap_source_intent,random_zs_source_intent,baseline_donor_intent,s_swap_donor_intent,random_zs_donor_intent,delta_over_H
11458,ar-SA,zh-CN,رح للـ podcast اللي بعدها,58,点亮厨房的灯光,41,"

[User 0001]

رح للـ podcast اللي بعدها
 

[User 0002]

<blockquote>رح لل",，我发现，我好像在做一些事情，我好像在做一些事情，我好像在做一些事情，我好像在做一些事情，,"

[User 0001]

<blockquote>I'm not sure if I'm the only one who thinks this, but I'm not",False,True,False,True,False,False,False,False,False,0.670917272567749
6801,zh-CN,ar-SA,给我看本周五的会议,32,ممكن تسجل عيد ميلاد بشاير يوم اثنين وعشرين يونيو,50,"记录，我需要知道我们如何解决这个问题。

我需要知道我们如何解决这个问题。

我需要知道我们如何解决这个问题。

我需要知道","
English: I want to see the meeting on Friday.",".

I'll show you the meeting on Friday.

我给你看本周五的会议.

I'll show you the meeting on Friday",False,False,False,False,False,False,False,True,True,0.6306909918785095
9059,ar-SA,zh-CN,نبهني في وقت الفعالية,50,把灯关掉,40,، واعلمنا أننا نحتاج إلى إعدادات خاصة، واعلمنا أننا نحتاج إلى إعدادات خاصة، و,"，我不会在任何地方看到它。

我正在使用一个新的Macbook Pro，它有一个新的键盘。

我正在使用一个新的Macbook","
English: Don't forget to set a reminder for the event.",False,True,False,True,False,True,False,False,False,0.9038462042808533
17113,zh-CN,ar-SA,写一封电子邮件给小美,33,سلام الغرض اللي اشتريته من واحد خرب ومعد يشتغل,47,"，告诉她你对她的生日礼物感到高兴。

Dear Mei,

I am writing to tell you that I am very happy about your birthday present.","

[User 0001]

Hi,

I'm trying to write a letter to a friend of mine who is in the US.","

[User 0001]

Hi,

I'm trying to write a letter to a friend of mine who is in the US.",False,False,False,False,False,False,True,True,True,0.7641674280166626
3522,ar-SA,zh-CN,شغل لمبات البلكونة حقي لو سمحت,41,播放上一个播客,58,"وا

[User 0001]

السلام عليكم ورحمة الله وبركاته

أريد شغل لمبات البلكونة في","

[User 0001]

<blockquote>我現在在做一個小遊戲，我需要一個小遊戲，我需要一個小遊戲，我",".

[User 0001]

<blockquote><b>
</b>
<b>
</b>
<b>
</b>
<b>
</b>
<b>
</b>
",False,True,False,False,False,False,False,False,False,0.8444092273712158
15075,zh-CN,ar-SA,olly 第一批美国人在哪里定居,49,احذف قائمة المهام حقي,53,"？

olly 1. 1607年，美国第一批定居者是荷兰人。

olly 2. 1"," کردند؟

olly

olly

olly

olly

olly

olly

olly

olly

olly

olly","？

olly 1990年，在纽约市出生。

olly 1990年，在纽约市出生。

",False,True,False,True,False,True,False,False,False,0.7479462623596191
16924,ar-SA,zh-CN,الله يسعدك شوف اذا حسابي في gmail فيه ايميلات جديدة,44,我想知道必胜客做不做外送,3,"
الله يسعدك
الله يسعدك
الله يسعدك
الله يسعدك
الله يسعدك
الله يسعدك
الله","，但如果我沒有在gmail中看到，那麼我將會在gmail中看到嗎？

我將會在gmail中看到嗎？

我","

[User 0001]

<b>الله يسعدك</b>

<b>الله يسعدك</b>

<b>الله يسعدك</b>

<b>",False,True,False,False,True,False,False,False,False,0.655247688293457
9962,zh-CN,ar-SA,做有嚼劲的意大利面最好的方法是什么,9,وش جدولي لليوم,32,"？

在意大利，我们有许多不同的方法来做意大利面。

在意大利，我们有许多不同的方法来做意大利面。

在意大利","؟

الآن، إذا كنت تحب تناول الطعام، فمن المحتمل أنك قد سمعت عن ""الليستري"".

الليست","?

<strong>1.</strong> <strong>使用</strong> <strong>100%</strong> <strong>全</strong> <strong>谷物</strong> <strong>面粉</strong>

",False,True,False,False,False,True,False,False,False,0.6393662691116333
884,ar-SA,zh-CN,حط منبه على ثمنية الصبح,48,请给在我的家人和朋友列表的韩梅梅发送一封电子邮件,33,، وامنح نفسك فرصة للراحة والاسترخاء، وامنح نفسك فرصة للراحة والاسترخاء، وامنح نفسك,，然后在晚上睡觉，然后在早上醒来，然后在晚上睡觉，然后在早上醒来，然后在晚上睡觉，然后在早上醒来，然后,"

[User 0001]

السلام عليكم ورحمة الله وبركاته

هل يمكن أن أقول ""حط منبه على",False,True,False,False,False,False,False,False,False,0.8795922994613647
8774,zh-CN,ar-SA,我的计划表七月七日完全地,32,اوصف المحور,26,"完成了。

我计划在七月七日完成我的计划表，但是我并没有完成。

我计划在七月七日完成我的计划表，但是"," به روز رسانی شده است.

در این پست، ما به شما خواهیم گفت که چگونه می توانید برنامه های خود را در برنامه های تلفن همراه خود تنظیم کنید", <b><i><u>다운로드</u></i></b> <b><i><u>다운로드</u></i></b> <b><i><u>다운로드</u></i></b> <b>,False,True,False,False,False,False,False,False,False,0.8992539048194885
2082,ar-SA,zh-CN,raise light drawing hall,18,你能帮我播放这个节目吗,36,"

[User 0001]

I have a 1999 2500 4x4 with a 5.","的英文翻译
raise light drawing hall的英文翻译
raise light drawing hall的英文翻译
raise light drawing hall的英文翻译
raise light drawing hall","ucinations, and the like.
The first is the most common, and is the result of a
sudden change in the temperature of the body.",False,True,False,False,False,False,False,False,False,0.8006775379180908
10107,zh-CN,ar-SA,我需要一个炖排骨的食谱,9,أعطني دليل الطبخ,9,，因为我正在寻找一个炖排骨的食谱，因为我正在寻找一个炖排骨的食谱，因为我正在寻找一个炖排,".

I need a recipe for a stew of beef ribs.

أريد أن أجعل هذا.

I want to make this.

أريد أن",".

I need a recipe for a stew.

我需要一个炖排骨的食谱.

I need a recipe for a stew.

我",False,True,False,True,True,True,True,True,True,0.6869320869445801
1423,ar-SA,zh-CN,خبرني عن سلمان بن عبد العزيز آل سعود,22,他的苛责是正确的,12,، وزير الدفاع السعودي، الذي يعتبر من أبرز الشخصيات في المملكة العربية السعودية، حيث يعتبر من الشخصيات التي لها دور كبير في السياسة السعودية,，الذي يعتبر من أبرز الشخصيات السياسية في السعودية، حيث أنه من الشخصيات التي تملك الكثير من النفوذ في المملكة العربية السعودية، حيث,", 2022-09-21 11:00:00

تعدّّ ""الرياح"" من",False,False,False,False,False,True,False,False,False,0.8144882321357727
16766,zh-CN,ar-SA,检查新的电子邮件,44,سجل منبه لإجتماع المدرا الأسبوع الجاي يوم الثلوث,50,"，并使用电子邮件地址来创建新帐户。

1. 在您的电子邮件客户端中，检查新电子邮件。
2. 在电子邮件中，输入您的"," من خلال Google و Gmail

تطبيق Google و Gmail هو تطبيق رائع لإنشاء حساب Gmail و Google و الوصول إلى جميع خدمات Google.

تطبيق Google"," <strong>सैमसंग गैलेक्सी 10</strong>, <strong>सैमसंग गैलेक्सी 10+</strong>",False,True,False,True,False,False,False,False,False,0.7133772969245911
4362,ar-SA,zh-CN,كم الساعة في الرياض,0,你能删除下一个活动吗,30,"

[User 0001]

السلام عليكم ورحمة الله وبركاته

هل يمكنكم إعطاء لي الساعة في الرياض؟",，在2019年，中国经济总量达到10万亿元，成为世界第二大经济体，在2020年，,", 1999, 1999, 1999, 1999, 1999, ",False,True,False,True,False,False,False,False,False,0.8006702065467834
2309,zh-CN,ar-SA,中国标准时间现在是上午七点,38,وين المسرح في منطقتي,19,"五十五分。

“你确定？”

“确定。”

“那我们现在就出发吧。”

“好。”

“你确定？”

", و نصف ساعة و نصف ساعة و نصف ساعة و نصف ساعة و نصف ساعة و نصف ساعة و نصف ساعة و نصف ساعة و نصف ساعة و نصف ساعة و نصف,".

The Chinese standard time is now seven o'clock in the morning.

中国标准时间现在是上午七点.

The Chinese standard time is",False,True,False,False,True,True,False,False,False,0.7178760170936584
6744,ar-SA,zh-CN,حط اجتماع مع عمر بكرا عشرة الصباح,50,现在我正在听的歌是谁唱的,57, في بيتي في الشارع، وطلب مني أن أذهب إلى المدرسة، فذهبت إلى المدرسة، وطلبت مني أن أ,"，在 10:00 AM 10/10/2019

在 10:00 AM 10","

[User 0001]

<b>حط اجتماع مع عمر بكرا عشرة الصباح</b>

<b>حط اجتماع مع عمر",False,True,False,False,True,True,False,False,False,0.6602281928062439
389,zh-CN,ar-SA,开启智能插头,24,android,59,"，让生活更智能

智能插头，让生活更智能

智能插头，让生活更智能

智能插头，让生活更智能","

1. 首先打开智能插头，然后将手机靠近智能插头，手机会自动识别智能插头，然后智能插头会自动","

1. 首先打开手机的设置，找到蓝牙，点击打开蓝牙。

2. 然后打开手机的蓝牙，找到“智能插头",False,False,False,True,True,True,False,False,False,0.843430757522583
10979,ar-SA,zh-CN,ايش عندك على قائمتك الحين,59,点亮客厅的灯光,18,"؟

عندي 100000000000000000000000000",，我看到你，我看到你，我看到你，我看到你，我看到你，我看到你，我看到你，我看到你,"؟

منذ 2012

منذ 2012

منذ 2012

منذ 201",False,True,False,False,False,False,False,False,False,0.6784031987190247
4112,zh-CN,ar-SA,把现在时间从格林威治时间改成东部标准时间,38,رد عالإيميل,33,"，就是把现在时间从12:00改成11:00。

把现在时间从格林威治时间改成东",".

1. 1. 1. 1. 1. 1. 1. 1. 1. 1. ","。

现在时间：2016-01-01 12:00:00

东部标准时间：20",False,False,False,True,False,True,False,False,False,0.7719061374664307
