pilot_row,alpha,id,source_locale,donor_locale,source_text,source_intent,donor_text,donor_intent,generation,source_locale_preserved,donor_locale_leakage,delta_over_H,target_donor_intent_success,source_intent_persistence
0,0.5,11458,ar-SA,zh-CN,رح للـ podcast اللي بعدها,58,点亮厨房的灯光,41,"

[User 0001]

رح للـ podcast اللي بعدها
 

[User 0002]

<blockquote>رح لل",True,False,0.8089896440505981,False,True
0,0.75,11458,ar-SA,zh-CN,رح للـ podcast اللي بعدها,58,点亮厨房的灯光,41,"

[User 0001]

<blockquote>اللي بيقولو انها مش هتكون هتكون هتكون هتكون ه",True,False,0.8089896440505981,False,False
0,1.0,11458,ar-SA,zh-CN,رح للـ podcast اللي بعدها,58,点亮厨房的灯光,41,"

اللي ما يقدر ياخذ شوية شاي

اللي ما يقدر ياخذ شوية شاي

اللي ما يقدر",True,False,0.8089896440505981,False,False
1,0.5,6801,zh-CN,ar-SA,给我看本周五的会议,32,ممكن تسجل عيد ميلاد بشاير يوم اثنين وعشرين يونيو,50,"记录，我需要知道哪些会议需要我参加。

我需要知道哪些会议需要我参加。

我需要知道哪些会议需要我参加。

",True,False,0.7407866716384888,False,True
1,0.75,6801,zh-CN,ar-SA,给我看本周五的会议,32,ممكن تسجل عيد ميلاد بشاير يوم اثنين وعشرين يونيو,50,"，我发现，我需要在会议上说些什么。

我需要说，我需要说，我需要说，我需要说，我需要说",True,False,0.7407866716384888,True,False
1,1.0,6801,zh-CN,ar-SA,给我看本周五的会议,32,ممكن تسجل عيد ميلاد بشاير يوم اثنين وعشرين يونيو,50,"，我发现，我需要在会议上说些什么。

我需要说，我需要说，我需要说，我需要说，我需要说",True,False,0.7407866716384888,True,False
2,0.5,9059,ar-SA,zh-CN,نبهني في وقت الفعالية,50,把灯关掉,40,"، وكنت أقول: ""أنت لا تعرف ما ستكون عليه الأمور في غدٍ، ولكنها ستكون أفضل من اليوم"".

",True,False,0.9099001288414001,False,False
2,0.75,9059,ar-SA,zh-CN,نبهني في وقت الفعالية,50,把灯关掉,40,"

[User 0001]

السلام عليكم ورحمة الله وبركاته

هل يمكنني أن أقول ""نبهني في",True,False,0.9099001288414001,False,False
2,1.0,9059,ar-SA,zh-CN,نبهني في وقت الفعالية,50,把灯关掉,40," وبهذا نكون قد نالنا لقب ""المدير العام"" في شركة ""أول"" للخدمات اللوجستية.

<h2>",True,False,0.9099001288414001,False,False
3,0.5,17113,zh-CN,ar-SA,写一封电子邮件给小美,33,سلام الغرض اللي اشتريته من واحد خرب ومعد يشتغل,47,"，告诉她你对她的生日礼物感到高兴。

Dear Mei,

I am very happy to receive your birthday present. I like it very much.",True,False,0.7708099484443665,True,False
3,0.75,17113,zh-CN,ar-SA,写一封电子邮件给小美,33,سلام الغرض اللي اشتريته من واحد خرب ومعد يشتغل,47,"，告诉她你对她的生日礼物感到高兴。

Dear Mary,

I am writing to tell you that I am very happy about your birthday present.",True,False,0.7708099484443665,False,True
3,1.0,17113,zh-CN,ar-SA,写一封电子邮件给小美,33,سلام الغرض اللي اشتريته من واحد خرب ومعد يشتغل,47,"，告诉她你收到她的信，并告诉她你最近的活动。

Dear Miss. Mei,

I am writing to tell you that I have",True,False,0.7708099484443665,False,True
4,0.5,3522,ar-SA,zh-CN,شغل لمبات البلكونة حقي لو سمحت,41,播放上一个播客,58,"

[User 0001]

السلام عليكم ورحمة الله وبركاته

هل يمكنني عمل لمبات البلكونة في البيت",True,False,0.7111051678657532,False,False
4,0.75,3522,ar-SA,zh-CN,شغل لمبات البلكونة حقي لو سمحت,41,播放上一个播客,58,"وا

[User 0001]

السلام عليكم ورحمة الله وبركاته

انا بحاول شغل لمبات البلكونة",True,False,0.7111051678657532,False,False
4,1.0,3522,ar-SA,zh-CN,شغل لمبات البلكونة حقي لو سمحت,41,播放上一个播客,58,"

[User 0001]

السلام عليكم ورحمة الله وبركاته

أريد أن أكتب في برنامج لاب توب",True,False,0.7111051678657532,False,False
5,0.5,15075,zh-CN,ar-SA,olly 第一批美国人在哪里定居,49,احذف قائمة المهام حقي,53,"？

olly 1900年，美国移民局开始记录移民的来源。

olly 1900年，美国移民",True,False,0.8607270121574402,False,True
5,0.75,15075,zh-CN,ar-SA,olly 第一批美国人在哪里定居,49,احذف قائمة المهام حقي,53,"？

olly 1980年，美国移民局（USCIS）开始对移民申请人进行背景调查。

olly 1",True,False,0.8607270121574402,False,False
5,1.0,15075,zh-CN,ar-SA,olly 第一批美国人在哪里定居,49,احذف قائمة المهام حقي,53,"了？

olly 1980年，美国政府在墨西哥的阿瓜斯卡尔帕州（Guadalajara）建立了一个军事基地，",True,False,0.8607270121574402,False,True
6,0.5,16924,ar-SA,zh-CN,الله يسعدك شوف اذا حسابي في gmail فيه ايميلات جديدة,44,我想知道必胜客做不做外送,3,"
الله يسعدك
الله يسعدك
الله يسعدك
الله يسعدك
الله يسعدك
الله يسعدك
الله",True,False,0.6430796980857849,False,False
6,0.75,16924,ar-SA,zh-CN,الله يسعدك شوف اذا حسابي في gmail فيه ايميلات جديدة,44,我想知道必胜客做不做外送,3,"
الله يسعدك
الله يسعدك
الله يسعدك
الله يسعدك
الله يسعدك
الله يسعدك
الله",True,False,0.6430796980857849,False,False
6,1.0,16924,ar-SA,zh-CN,الله يسعدك شوف اذا حسابي في gmail فيه ايميلات جديدة,44,我想知道必胜客做不做外送,3,"
English: God bless you see if my account in gmail has new emails",False,False,0.6430796980857849,False,True
7,0.5,9962,zh-CN,ar-SA,做有嚼劲的意大利面最好的方法是什么,9,وش جدولي لليوم,32,"？

在意大利，我们有许多不同的面条，但最受欢迎的无疑是意大利面。

意大利面是意大利最受欢迎的食品之一，",True,False,1.1902040243148804,False,True
7,0.75,9962,zh-CN,ar-SA,做有嚼劲的意大利面最好的方法是什么,9,وش جدولي لليوم,32,"？

在意大利面中加入一些意大利面，然后在意大利面中加入一些意大利面。

在意大利面中加入一些意大利面，然后",True,False,1.1902040243148804,False,True
7,1.0,9962,zh-CN,ar-SA,做有嚼劲的意大利面最好的方法是什么,9,وش جدولي لليوم,32,"？

1. 1. 1. 1. 1. 1. 1. 1. 1. 1. ",False,False,1.1902040243148804,False,False
8,0.5,884,ar-SA,zh-CN,حط منبه على ثمنية الصبح,48,请给在我的家人和朋友列表的韩梅梅发送一封电子邮件,33,"

[User 0001]

السلام عليكم ورحمة الله وبركاته

هل يمكن أن أقول ""حط منبه على",True,False,0.7157610058784485,False,False
8,0.75,884,ar-SA,zh-CN,حط منبه على ثمنية الصبح,48,请给在我的家人和朋友列表的韩梅梅发送一封电子邮件,33,"
English: Set an alarm for the morning price.",False,False,0.7157610058784485,False,True
8,1.0,884,ar-SA,zh-CN,حط منبه على ثمنية الصبح,48,请给在我的家人和朋友列表的韩梅梅发送一封电子邮件,33,"
English: Set a reminder for the morning prayer.",False,False,0.7157610058784485,False,True
9,0.5,8774,zh-CN,ar-SA,我的计划表七月七日完全地,32,اوصف المحور,26,是按照我的计划，我从早上六点起床，然后在早上七点开始跑步。我跑了一小时，然后在早上八点开始做,True,False,1.3414398431777954,False,True
9,0.75,8774,zh-CN,ar-SA,我的计划表七月七日完全地,32,اوصف المحور,26,是，我正在努力地工作，我正在努力地工作，我正在努力地工作，我正在努力地工作，我正在努力地工作，,True,False,1.3414398431777954,False,False
9,1.0,8774,zh-CN,ar-SA,我的计划表七月七日完全地,32,اوصف المحور,26,是，在2016年10月1日，在北京，中国，在北京，中国，在北京，中国，在北京，,True,False,1.3414398431777954,False,False
10,0.5,2082,ar-SA,zh-CN,raise light drawing hall,18,你能帮我播放这个节目吗,36,"

[User 0001]

I have a 1999 2500hd with a 6.5 turbo diesel",False,False,0.9015226364135742,False,False
10,0.75,2082,ar-SA,zh-CN,raise light drawing hall,18,你能帮我播放这个节目吗,36,"

[User 0001]

I have a 1999 2500hd with a 6.5 turbo diesel",False,False,0.9015226364135742,False,False
10,1.0,2082,ar-SA,zh-CN,raise light drawing hall,18,你能帮我播放这个节目吗,36," please

[User 0001]

I have a 2000 2500hd with a 6.0 and",False,False,0.9015226364135742,False,False
11,0.5,10107,zh-CN,ar-SA,我需要一个炖排骨的食谱,9,أعطني دليل الطبخ,9,，因为我正在寻找一个新的食谱，我需要一个炖排骨的食谱，因为我正在寻找一个新的食谱，我需要一个,True,False,1.027997612953186,True,True
11,0.75,10107,zh-CN,ar-SA,我需要一个炖排骨的食谱,9,أعطني دليل الطبخ,9,，因为我正在寻找一个新的食谱，我需要一个炖排骨的食谱，因为我正在寻找一个新的食谱，我需要一个,True,False,1.027997612953186,True,True
11,1.0,10107,zh-CN,ar-SA,我需要一个炖排骨的食谱,9,أعطني دليل الطبخ,9,，我需要一个炖排骨的食谱，我需要一个炖排骨的食谱，我需要一个炖排骨的食谱，我,True,False,1.027997612953186,True,True
12,0.5,1423,ar-SA,zh-CN,خبرني عن سلمان بن عبد العزيز آل سعود,22,他的苛责是正确的,12,، هو ابن الملك سلمان بن عبد العزيز آل سعود، وهو من أبرز الشخصيات السعودية، حيث أنه من الشخصيات التي لها تأثير كبير في المملكة العربية,True,False,0.9622724056243896,False,False
12,0.75,1423,ar-SA,zh-CN,خبرني عن سلمان بن عبد العزيز آل سعود,22,他的苛责是正确的,12,، هو ابن الملك عبد العزيز بن سعود آل سعود، وهو من أبرز الشخصيات السعودية، حيث كان سلمان بن عبد العزيز آل سعود رئيسًا للوز,True,False,0.9622724056243896,False,False
12,1.0,1423,ar-SA,zh-CN,خبرني عن سلمان بن عبد العزيز آل سعود,22,他的苛责是正确的,12,، وعن سلمان بن عبد العزيز آل سعود، وعن سلمان بن عبد العزيز آل سعود، وعن سلمان بن عبد العزيز آل سعود، و,True,False,0.9622724056243896,False,False
13,0.5,16766,zh-CN,ar-SA,检查新的电子邮件,44,سجل منبه لإجتماع المدرا الأسبوع الجاي يوم الثلوث,50,"地址，并确保它与您的帐户中的电子邮件地址相同。

检查您的电子邮件帐户中的垃圾邮件过滤器，确保您没有将我们的电子邮件地址标记为",True,False,0.740556538105011,False,True
13,0.75,16766,zh-CN,ar-SA,检查新的电子邮件,44,سجل منبه لإجتماع المدرا الأسبوع الجاي يوم الثلوث,50,"地址，并确保它与您的帐户关联。

如果您在注册时使用的是旧的电子邮件地址，请检查您的旧电子邮件地址是否仍然有效。",True,False,0.740556538105011,False,True
13,1.0,16766,zh-CN,ar-SA,检查新的电子邮件,44,سجل منبه لإجتماع المدرا الأسبوع الجاي يوم الثلوث,50,"地址，并确保它与您的帐户绑定。

如果您在注册时使用电子邮件地址，请确保您在注册时输入正确的电子邮件地址。

如果您",True,False,0.740556538105011,False,True
