id,condition,source_locale,target_locale,source_text,source_intent,donor_text,donor_intent,generation,target_language_success,delta_over_H,source_intent_preserved,donor_intent_leakage
1744,alpha_0,ar-SA,zh-CN,وش رايك,43,关闭八点的闹钟,52,"م عن هذا الموضوع؟

[User 0001]

السلام عليكم ورحمة الله وبركاته

انا من المبتدئ",False,1.1803795099258423,False,False
1744,alpha_075,ar-SA,zh-CN,وش رايك,43,关闭八点的闹钟,52,"م؟

[User 0001]

<b>السلام عليكم ورحمة الله وبركاته</b>

<b>
أولاً:</b>",False,1.1803795099258423,False,False
1744,random_zs,ar-SA,zh-CN,وش رايك,43,关闭八点的闹钟,52,", 1999, 2000, 2001, 2002, 2003, ",False,1.1803795099258423,False,False
4130,alpha_0,zh-CN,ar-SA,我有定舞蹈课的闹钟提醒吗,23,قلل قوة اللمبه,31,"？

是的，你可以设置一个闹钟提醒，提醒你什么时候去上课。

我可以在哪里找到我的定舞蹈课的闹钟提醒？

",False,0.6291049718856812,True,False
4130,alpha_075,zh-CN,ar-SA,我有定舞蹈课的闹钟提醒吗,23,قلل قوة اللمبه,31,"؟

我需要一个闹钟提醒我什么时候去跳舞。

我需要一个闹钟提醒我什么时候去跳舞。

我需要一个闹钟提醒",False,0.6291049718856812,True,False
4130,random_zs,zh-CN,ar-SA,我有定舞蹈课的闹钟提醒吗,23,قلل قوة اللمبه,31,"?

I have a dance class reminder?

I have a dance class reminder?

I have a dance class reminder?

I have a dance class reminder",False,0.6291049718856812,False,False
6902,alpha_0,ar-SA,zh-CN,حط تذكير الشهر الجاي عشان أغير الزيت,50,六除以二等于多少,39," في السيارة

[User 0001]

<blockquote><b>حط تذكير الشهر الجاي عشان أغير الزيت في السيارة</b>

",False,0.7379577159881592,False,False
6902,alpha_075,ar-SA,zh-CN,حط تذكير الشهر الجاي عشان أغير الزيت,50,六除以二等于多少,39,"

[User 0001]

<blockquote><b>حط تذكير الشهر الجاي عشان أغير الزيت</b>

<b>
السلام عليكم",False,0.7379577159881592,False,False
6902,random_zs,ar-SA,zh-CN,حط تذكير الشهر الجاي عشان أغير الزيت,50,六除以二等于多少,39,".

I'm not sure if this is a good idea or not.

I'm not sure if this is a good idea or not.

",False,0.7379577159881592,False,False
1741,alpha_0,zh-CN,ar-SA,请告诉我現在正在播放的这首歌的名称,57,ما هو الطقس اليوم,13,"。

请告诉我現在正在播放的這首歌的名称。

请告诉我現在正在播放的这首歌的名称。

请告诉我現在正在播放的",False,0.6668630838394165,True,False
1741,alpha_075,zh-CN,ar-SA,请告诉我現在正在播放的这首歌的名称,57,ما هو الطقس اليوم,13,"
English: Please tell me the name of the song that is playing now",False,0.6668630838394165,True,False
1741,random_zs,zh-CN,ar-SA,请告诉我現在正在播放的这首歌的名称,57,ما هو الطقس اليوم,13,".

<h2>Answer</h2>

The song is called ""The Sound of Silence"" by Simon and Garfunkel.

<h2>Answer</h2>

The song is called",False,0.6668630838394165,True,False
16563,alpha_0,ar-SA,zh-CN,تأكد من الايميل حقي,44,你们有送餐上门吗,3," الخاص بك.
English: Verify your email address.",False,1.2233763933181763,True,False
